The Shawshank Redemption	 --- Frank Darabont (dir.), Tim Robbins, Morgan Freeman	 --- 1994	 --- 2,404,307	 --- 9.2
The Godfather	 --- Francis Ford Coppola (dir.), Marlon Brando, Al Pacino	 --- 1972	 --- 1,664,324	 --- 9.1
The Godfather: Part II	 --- Francis Ford Coppola (dir.), Al Pacino, Robert De Niro	 --- 1974	 --- 1,156,570	 --- 9.0
The Dark Knight	 --- Christopher Nolan (dir.), Christian Bale, Heath Ledger	 --- 2008	 --- 2,364,310	 --- 9.0
12 Angry Men	 --- Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb	 --- 1957	 --- 708,725	 --- 8.9
Schindler's List	 --- Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes	 --- 1993	 --- 1,239,938	 --- 8.9
The Lord of the Rings: The Return of the King	 --- Peter Jackson (dir.), Elijah Wood, Viggo Mortensen	 --- 2003	 --- 1,677,134	 --- 8.9
Pulp Fiction	 --- Quentin Tarantino (dir.), John Travolta, Uma Thurman	 --- 1994	 --- 1,868,254	 --- 8.8
Il buono, il brutto, il cattivo	 --- Sergio Leone (dir.), Clint Eastwood, Eli Wallach	 --- 1966	 --- 702,273	 --- 8.8
The Lord of the Rings: The Fellowship of the Ring	 --- Peter Jackson (dir.), Elijah Wood, Ian McKellen	 --- 2001	 --- 1,697,968	 --- 8.8
Fight Club	 --- David Fincher (dir.), Brad Pitt, Edward Norton	 --- 1999	 --- 1,898,341	 --- 8.8
Forrest Gump	 --- Robert Zemeckis (dir.), Tom Hanks, Robin Wright	 --- 1994	 --- 1,858,087	 --- 8.7
Inception	 --- Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt	 --- 2010	 --- 2,121,803	 --- 8.7
The Lord of the Rings: The Two Towers	 --- Peter Jackson (dir.), Elijah Wood, Ian McKellen	 --- 2002	 --- 1,516,463	 --- 8.7
Star Wars: Episode V - The Empire Strikes Back	 --- Irvin Kershner (dir.), Mark Hamill, Harrison Ford	 --- 1980	 --- 1,181,956	 --- 8.7
The Matrix	 --- Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne	 --- 1999	 --- 1,715,953	 --- 8.6
Goodfellas	 --- Martin Scorsese (dir.), Robert De Niro, Ray Liotta	 --- 1990	 --- 1,046,104	 --- 8.6
One Flew Over the Cuckoo's Nest	 --- Milos Forman (dir.), Jack Nicholson, Louise Fletcher	 --- 1975	 --- 935,727	 --- 8.6
Shichinin no samurai	 --- Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura	 --- 1954	 --- 322,234	 --- 8.6
Se7en	 --- David Fincher (dir.), Morgan Freeman, Brad Pitt	 --- 1995	 --- 1,482,002	 --- 8.6
The Silence of the Lambs	 --- Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins	 --- 1991	 --- 1,302,644	 --- 8.6
Cidade de Deus	 --- Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino	 --- 2002	 --- 710,883	 --- 8.6
It's a Wonderful Life	 --- Frank Capra (dir.), James Stewart, Donna Reed	 --- 1946	 --- 413,482	 --- 8.6
La vita è bella	 --- Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi	 --- 1997	 --- 638,578	 --- 8.6
Star Wars	 --- George Lucas (dir.), Mark Hamill, Harrison Ford	 --- 1977	 --- 1,253,982	 --- 8.6
Saving Private Ryan	 --- Steven Spielberg (dir.), Tom Hanks, Matt Damon	 --- 1998	 --- 1,266,485	 --- 8.5
Sen to Chihiro no kamikakushi	 --- Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette	 --- 2001	 --- 673,721	 --- 8.5
Interstellar	 --- Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway	 --- 2014	 --- 1,566,609	 --- 8.5
The Green Mile	 --- Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan	 --- 1999	 --- 1,177,289	 --- 8.5
Gisaengchung	 --- Bong Joon Ho (dir.), Kang-ho Song, Sun-kyun Lee	 --- 2019	 --- 616,776	 --- 8.5
Léon	 --- Luc Besson (dir.), Jean Reno, Gary Oldman	 --- 1994	 --- 1,059,396	 --- 8.5
Seppuku	 --- Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama	 --- 1962	 --- 45,510	 --- 8.5
The Usual Suspects	 --- Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne	 --- 1995	 --- 1,010,098	 --- 8.5
The Pianist	 --- Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann	 --- 2002	 --- 751,557	 --- 8.5
Back to the Future	 --- Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd	 --- 1985	 --- 1,085,797	 --- 8.5
Terminator 2: Judgment Day	 --- James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton	 --- 1991	 --- 1,013,593	 --- 8.5
Psycho	 --- Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh	 --- 1960	 --- 617,306	 --- 8.5
Modern Times	 --- Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard	 --- 1936	 --- 223,384	 --- 8.5
The Lion King	 --- Roger Allers (dir.), Matthew Broderick, Jeremy Irons	 --- 1994	 --- 964,234	 --- 8.5
American History X	 --- Tony Kaye (dir.), Edward Norton, Edward Furlong	 --- 1998	 --- 1,051,553	 --- 8.5
City Lights	 --- Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill	 --- 1931	 --- 171,646	 --- 8.5
Gladiator	 --- Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix	 --- 2000	 --- 1,370,820	 --- 8.5
Whiplash	 --- Damien Chazelle (dir.), Miles Teller, J.K. Simmons	 --- 2014	 --- 742,308	 --- 8.5
The Departed	 --- Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon	 --- 2006	 --- 1,216,632	 --- 8.5
Hotaru no haka	 --- Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi	 --- 1988	 --- 244,233	 --- 8.5
The Intouchables	 --- Olivier Nakache (dir.), François Cluzet, Omar Sy	 --- 2011	 --- 780,794	 --- 8.5
The Prestige	 --- Christopher Nolan (dir.), Christian Bale, Hugh Jackman	 --- 2006	 --- 1,219,604	 --- 8.5
Casablanca	 --- Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman	 --- 1942	 --- 531,610	 --- 8.4
Once Upon a Time in the West	 --- Sergio Leone (dir.), Henry Fonda, Charles Bronson	 --- 1968	 --- 308,483	 --- 8.4
Rear Window	 --- Alfred Hitchcock (dir.), James Stewart, Grace Kelly	 --- 1954	 --- 453,423	 --- 8.4
Nuovo Cinema Paradiso	 --- Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale	 --- 1988	 --- 237,521	 --- 8.4
Alien	 --- Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt	 --- 1979	 --- 805,460	 --- 8.4
Apocalypse Now	 --- Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando	 --- 1979	 --- 618,749	 --- 8.4
Memento	 --- Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss	 --- 2000	 --- 1,147,931	 --- 8.4
Raiders of the Lost Ark	 --- Steven Spielberg (dir.), Harrison Ford, Karen Allen	 --- 1981	 --- 899,728	 --- 8.4
The Great Dictator	 --- Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard	 --- 1940	 --- 207,455	 --- 8.4
The Lives of Others	 --- Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck	 --- 2006	 --- 366,287	 --- 8.4
Django Unchained	 --- Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz	 --- 2012	 --- 1,393,873	 --- 8.4
Paths of Glory	 --- Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker	 --- 1957	 --- 182,595	 --- 8.4
Sunset Blvd.	 --- Billy Wilder (dir.), William Holden, Gloria Swanson	 --- 1950	 --- 205,918	 --- 8.4
WALL·E	 --- Andrew Stanton (dir.), Ben Burtt, Elissa Knight	 --- 2008	 --- 1,022,247	 --- 8.4
The Shining	 --- Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall	 --- 1980	 --- 920,586	 --- 8.4
Witness for the Prosecution	 --- Billy Wilder (dir.), Tyrone Power, Marlene Dietrich	 --- 1957	 --- 112,365	 --- 8.4
